#Position (bp)	mapping quality
2.1347208E7	41.988744104872
2.1508319E7	41.985222974755914
2.166943E7	42.0
2.1830541E7	0.0
2.1991652E7	0.0
2.2152763E7	0.0
2.2313874E7	0.0
2.2474985E7	0.0
2.2636096E7	41.99952247765878
2.2797207E7	0.0
2.2958318E7	42.0
2.3119429E7	42.0
2.328054E7	41.998301451854246
2.3441651E7	41.98854331199601
2.3602762E7	41.240148617082504
2.3763873E7	27.77788302154866
2.3924984E7	41.99331742671594
2.4086095E7	0.0
2.4247206E7	0.0
2.4408317E7	42.0
2.4569428E7	41.99946085416105
2.4730539E7	42.0
2.489165E7	41.94959930198626
2.5052761E7	42.0
2.5213872E7	41.92151548072902
2.5374983E7	41.96768601465815
2.5536094E7	41.95640514652536
2.5697205E7	39.393207960988356
2.5858316E7	23.645180436847102
2.6019427E7	0.0
2.6180538E7	0.0
2.6341649E7	0.0
2.650276E7	0.0
2.6663871E7	0.0
2.6824982E7	0.0
2.6986093E7	0.0
2.7147204E7	0.0
2.7308315E7	0.0
2.7469426E7	0.0
2.7630537E7	0.0
2.7791648E7	0.0
2.7952759E7	0.0
2.811387E7	0.0
2.8274981E7	0.0
2.8436092E7	0.0
2.8597203E7	0.0
2.8758314E7	0.0
2.8919425E7	0.0
2.9080536E7	0.0
2.9241647E7	0.0
2.9402758E7	0.0
2.9563869E7	0.0
2.972498E7	0.0
2.9886091E7	0.0
3.0047202E7	0.0
3.0208313E7	42.0
3.0369424E7	42.0
3.0530535E7	0.0
3.0691646E7	0.0
3.0852757E7	0.0
3.1013868E7	0.0
3.1174979E7	0.0
3.133609E7	42.0
3.1497201E7	41.997644687229084
3.1658312E7	41.99935564539018
3.1819423E7	41.99585200324536
3.1980534E7	41.999784187799776
3.2141645E7	41.99984212336555
3.2302756E7	42.0
3.2463867E7	41.99982977999064
3.2624978E7	41.99397121595588
3.2786089E7	41.980153524411826
3.29472E7	41.99850495132193
3.3108311E7	41.970757484884345
3.3269422E7	41.974129167694244
3.3430533E7	41.99974784542925
3.3591644E7	41.996731089507726
3.3752755E7	41.98362193626329
3.3913866E7	42.0
3.4074977E7	41.999792600786144
3.4236088E7	42.0
3.4397199E7	41.99063042356583
3.455831E7	42.0
3.4719421E7	41.986256641573455
3.4880532E7	41.98548045285531
3.5041643E7	41.992640210519056
3.5202754E7	41.97283916083916
3.5363865E7	41.91365639236807
3.5524976E7	41.99533960800109
3.5686087E7	41.99441398975058
3.5847198E7	41.99627014786199
3.6008309E7	41.997563388538765
3.616942E7	42.0
3.6330531E7	42.0
3.6491642E7	42.0
3.6652753E7	41.997399646618646
3.6813864E7	41.998207836733584
