#Position (bp)	mapping quality
1.3452769E7	42.0
1.361388E7	41.99967853288532
1.3774991E7	41.85617424475481
1.3936102E7	42.0
1.4097213E7	42.0
1.4258324E7	42.0
1.4419435E7	42.0
1.4580546E7	0.0
1.4741657E7	42.0
1.4902768E7	0.0
1.5063879E7	0.0
1.522499E7	42.0
1.5386101E7	42.0
1.5547212E7	42.0
1.5708323E7	0.0
1.5869434E7	41.99931553730322
1.6030545E7	41.96434776841966
1.6191656E7	0.0
1.6352767E7	41.99733829059107
1.6513878E7	41.99972449441445
1.6674989E7	41.9955516355409
1.68361E7	0.0
1.6997211E7	0.0
1.7158322E7	42.0
1.7319433E7	42.0
1.7480544E7	41.998928858983206
1.7641655E7	40.74740763723484
1.7802766E7	42.0
1.7963877E7	41.96084536277007
1.8124988E7	41.99656828232834
1.8286099E7	41.99008848580224
1.844721E7	41.859255074073296
1.8608321E7	41.93891746673053
1.8769432E7	42.0
1.8930543E7	0.0
1.9091654E7	0.0
1.9252765E7	42.0
1.9413876E7	42.0
1.9574987E7	41.984383714445066
1.9736098E7	41.823132784808976
1.9897209E7	42.0
2.005832E7	41.99568549483051
2.0219431E7	41.99702104184727
2.0380542E7	42.0
2.0541653E7	41.99990030383593
2.0702764E7	42.0
2.0863875E7	0.0
2.1024986E7	0.0
2.1186097E7	41.99469995718503
2.1347208E7	41.982983180820995
2.1508319E7	41.98901146818994
2.166943E7	42.0
2.1830541E7	0.0
2.1991652E7	0.0
2.2152763E7	0.0
2.2313874E7	0.0
2.2474985E7	0.0
2.2636096E7	42.0
2.2797207E7	0.0
2.2958318E7	42.0
2.3119429E7	41.999826849107244
2.328054E7	42.0
2.3441651E7	41.97982223616314
2.3602762E7	41.37544913167876
2.3763873E7	27.537905099523343
2.3924984E7	41.973838359851186
2.4086095E7	0.0
2.4247206E7	0.0
2.4408317E7	42.0
2.4569428E7	42.0
2.4730539E7	42.0
2.489165E7	41.94738419451019
2.5052761E7	42.0
2.5213872E7	41.92239378477021
2.5374983E7	41.973844100869584
2.5536094E7	41.90182961600736
2.5697205E7	39.380883209079656
2.5858316E7	24.344863513231925
2.6019427E7	0.0
2.6180538E7	0.0
2.6341649E7	0.0
2.650276E7	0.0
2.6663871E7	0.0
2.6824982E7	0.0
2.6986093E7	0.0
2.7147204E7	0.0
2.7308315E7	0.0
2.7469426E7	0.0
2.7630537E7	0.0
2.7791648E7	0.0
2.7952759E7	0.0
2.811387E7	0.0
2.8274981E7	0.0
2.8436092E7	0.0
2.8597203E7	0.0
2.8758314E7	0.0
2.8919425E7	0.0
2.9080536E7	0.0
2.9241647E7	0.0
2.9402758E7	0.0
2.9563869E7	0.0
2.972498E7	0.0
